ticker,name,exchange,sector,industry,scalemarketcap,scalerevenue,location
WBA,Walgreens Boots Alliance Inc,NASDAQ,Consumer Defensive,Pharmaceutical Retailers,5 - Large,5 - Large,Illinois; U.S.A
WDC,Western Digital Corp,NASDAQ,Technology,Computer Hardware,5 - Large,5 - Large,California; U.S.A
WEC,Wec Energy Group Inc,NYSE,Utilities,Utilities - Regulated Electric,5 - Large,4 - Mid,Wisconsin; U.S.A
WELL,Welltower Inc,NYSE,Real Estate,REIT - Healthcare Facilities,5 - Large,4 - Mid,Ohio; U.S.A
WFC,Wells Fargo & Company,NYSE,Financial Services,Banks - Diversified,6 - Mega,5 - Large,California; U.S.A
WHR,Whirlpool Corp,NYSE,Consumer Cyclical,Furnishings Fixtures & Appliances,5 - Large,5 - Large,Michigan; U.S.A
WLTW,Willis Towers Watson Plc,NASDAQ,Financial Services,Insurance Brokers,5 - Large,4 - Mid,United Kingdom
WM,Waste Management Inc,NYSE,Industrials,Waste Management,5 - Large,5 - Large,Texas; U.S.A
WMB,Williams Companies Inc,NYSE,Energy,Oil & Gas Midstream,5 - Large,5 - Large,Oklahoma; U.S.A
WMT,Walmart Inc,NYSE,Consumer Defensive,Discount Stores,6 - Mega,6 - Mega,Arkansas; U.S.A
WRB,Berkley W R Corp,NYSE,Financial Services,Insurance - Property & Casualty,5 - Large,4 - Mid,Connecticut; U.S.A
WRK,WestRock Co,NYSE,Consumer Cyclical,Packaging & Containers,5 - Large,5 - Large,Georgia; U.S.A
WST,West Pharmaceutical Services Inc,NYSE,Healthcare,Medical Instruments & Supplies,5 - Large,4 - Mid,Pennsylvania; U.S.A
WU,Western Union CO,NYSE,Financial Services,Credit Services,5 - Large,4 - Mid,Colorado; U.S.A
WY,Weyerhaeuser Co,NYSE,Real Estate,REIT - Specialty,5 - Large,5 - Large,Washington; U.S.A
WYNN,Wynn Resorts Ltd,NASDAQ,Consumer Cyclical,Resorts & Casinos,5 - Large,4 - Mid,Nevada; U.S.A
XEL,Xcel Energy Inc,NASDAQ,Utilities,Utilities - Regulated Electric,5 - Large,5 - Large,Minnesota; U.S.A
